frame,joint,mpjpe_mm_post_alignment
6,11,0.32152608459043397
6,12,0.23023363484951223
6,13,0.11630613255502392
6,14,0.20946521788752398
6,15,0.08289268073464641
6,16,0.13327803624502046
7,0,0.14945895498589545
7,1,0.15095147476463544
7,3,0.29062758879633976
7,5,0.14717545005545501
7,6,0.16387220033074482
7,7,0.3796421541627948
7,8,0.4089104202762927
7,9,0.17615198202426868
7,10,0.23514498733011693
7,11,0.30808230919000884
7,12,0.20312454608324115
7,13,0.13465363350308468
7,14,0.1794237578158557
7,15,0.0843255375540813
7,16,0.16734379582394993
8,0,0.143809354454235
8,1,0.15029085786399
8,3,0.3029859196252094
8,5,0.14744110447342848
8,6,0.1648132580896398
8,7,0.3679619640003625
8,8,0.41840383026704725
8,9,0.1903430750439828
8,10,0.22707672669165482
8,11,0.3060865591425352
8,12,0.19667824343610757
8,13,0.1272069485236689
8,14,0.1758700354170135
8,15,0.09894407369738262
8,16,0.1595176453702376
9,4,0.24554381510808157
9,5,0.17524982811970513
9,6,0.12982077311891335
9,7,0.3475232010732991
9,8,0.366966362664917
9,9,0.243140358533754
9,10,0.29621512062856753
9,11,0.31550793654379117
9,12,0.21966854028827054
9,13,0.125329093463351
9,14,0.19245891653556454
9,15,0.057745899897779465
9,16,0.13511630740509592
10,3,0.27590026863614414
10,5,0.15119246026883687
10,6,0.11574440167472978
10,7,0.33186603503238293
10,8,0.354069503307921
10,9,0.2342025546752747
10,10,0.31347789926593495
10,11,0.30980808990288244
10,12,0.22826198350140847
10,13,0.15280570558776557
10,14,0.1849261685014879
10,15,0.014525698491489374
10,16,0.14777029191601124
11,3,0.2852069834154651
11,5,0.1480103272125639
11,6,0.12202305262335668
11,7,0.33370362610168663
11,8,0.3490267970637476
11,9,0.21461869628383257
11,10,0.32827041545909996
11,11,0.3129231131651094
11,12,0.23504914580450995
11,13,0.15266127223300544
11,14,0.18394423976697652
11,15,0.01807091086758245
11,16,0.13605020761308756
12,3,0.2799557001757829
12,5,0.15016372216155582
12,6,0.12544448562634522
12,7,0.3331005416913533
12,8,0.3373471519322014
12,9,0.21412807485494156
12,10,0.33218263332968656
12,11,0.30707589143325825
12,12,0.23255734066310943
12,13,0.14854971464803568
12,14,0.18718332477481545
12,15,0.022820314141168165
12,16,0.12855174276675302
13,3,0.29562655674107063
13,5,0.13769859919641966
13,6,0.09082615071727676
13,7,0.4201345568862647
13,8,0.3077265916226868
13,9,0.14645482626541842
13,10,0.3628632565835643
13,11,0.29669761457747734
13,12,0.26042640520357874
13,13,0.11966217261316195
13,14,0.17199020227227846
13,15,0.04445594698137144
13,16,0.14367908564787263
14,5,0.14784857656214584
14,6,0.15137438069239528
14,7,0.44208733366054653
14,8,0.40560703859848074
14,9,0.11701011277015926
14,10,0.31752147594537833
14,11,0.33548489051184777
14,12,0.2386800160375729
14,13,0.16818432977780637
14,14,0.19475957359033688
14,15,0.04474426733669193
14,16,0.16363194606771173
15,5,0.16959271682862725
15,6,0.13953737237675146
15,7,0.4162433446324582
15,8,0.39716311005234556
15,10,0.3293334663637234
15,11,0.3482532382284376
15,12,0.24514783997424994
15,13,0.17142121294544402
15,14,0.2040137933696785
15,15,0.045767001030536825
15,16,0.16082387711320603
16,5,0.16576087924243427
16,6,0.14125244139527532
16,7,0.41506237230434595
16,8,0.39747911261313545
16,10,0.334925625393516
16,11,0.3450683442415936
16,12,0.24309077618904643
16,13,0.1744781799062964
16,14,0.2071003864702855
16,15,0.049738270648275476
16,16,0.1634396641075456
17,5,0.161450507979203
17,6,0.14145295675197853
17,7,0.4149149139972309
17,8,0.3961712674017861
17,10,0.3414859123929428
17,11,0.3412788817937491
17,12,0.2415217162337597
17,13,0.18030911557325488
17,14,0.20801606130188843
17,15,0.05566552726588199
17,16,0.1666179838920099
18,5,0.16261017608996192
18,6,0.1395011781700665
18,7,0.40889496753624743
18,8,0.39674696735807713
18,10,0.34789816972505383
18,11,0.3398231660957616
18,12,0.2388703384043685
18,13,0.17368977335118
18,14,0.21122855933220752
18,15,0.04780257841302109
18,16,0.17065444489947587
19,5,0.08560813188453167
19,6,0.23496449776664033
19,8,0.5394860370582438
19,10,0.3529423932108926
19,11,0.3318770483277767
19,12,0.22572211902127884
19,13,0.21000324320129712
19,14,0.24558195053368867
19,15,0.09693482500077968
19,16,0.22678780060430964
20,5,0.09198594226541858
20,6,0.22746115696779384
20,8,0.5386865260478493
