frame,joint,mpjpe_mm
41,15,1347.4037961952345
41,16,1332.940441039961
22,0,6591.114038173213
22,1,6688.708640170527
22,2,11832.871794446855
22,3,7008.341469286827
22,4,9536.666954527785
22,5,1572.930327781856
22,6,1278.1213115034766
22,7,1508.395638211269
22,8,1101.3433153052545
22,9,6581.429111309651
22,10,1706.2404040554147
22,11,2123.573466488775
22,12,1971.429795921833
22,13,2116.704693896068
22,14,2055.395408504026
22,15,2431.1275875751053
22,16,2123.6487737898115
45,0,710.0351839188891
45,1,7590.348286702778
45,2,1253.2134971379053
45,3,7772.429733099864
45,4,8487.980577177612
45,5,445.21137998814726
45,6,974.1112451582967
45,7,1242.505512756172
45,8,1239.902442505133
45,9,473.97401021596
45,10,564.4321591034698
45,11,703.1599829952395
45,12,505.167066208827
45,13,681.4483400009447
45,14,549.040540701671
45,15,1364.7487368503043
45,16,1004.380746550109
37,0,4705.1073503918105
37,1,4606.344814629258
37,2,4779.156359417264
37,3,18265.377651598137
37,4,2463.527942779197
37,5,2542.1708902047117
37,6,2411.695501768323
37,7,5257.023970375811
37,8,2576.320694189534
37,9,4605.458052368014
37,10,2423.1615911130275
37,11,2664.6191893537753
37,12,2415.956980765025
37,13,2500.6010984118434
37,14,2548.694183119737
37,15,3115.099765621077
37,16,3184.900045679433
21,0,6545.59744024579
21,1,6650.712023505989
21,2,11798.575851151763
21,3,7006.269480723568
21,4,9520.079152925151
21,5,1510.8561681422705
21,6,1202.529037223917
21,7,6716.356800259973
21,8,1073.1673414652869
21,9,6434.511943052508
21,10,1661.4478631911784
21,11,2095.304225569929
21,12,1913.975041662586
21,13,2087.194863436922
21,14,2001.1289238584113
21,15,2381.3739049900832
21,16,2089.8272881321845
13,0,11734.022149026048
13,1,11783.761187831002
13,2,11759.750090215784
13,3,1491.8557588305684
13,4,8405.718193093448
13,5,517.4775557151764
13,6,1079.4711635171222
13,7,1256.4889727168384
13,8,1448.7295058442678
13,9,595.3301356455753
13,10,195.13093246219742
13,11,654.3077746033591
13,12,534.9967449632912
13,13,678.9016556526151
13,14,1019.9601094753014
